location,year,male,female
CRI,2007,76.0,80.8
CRI,2008,76.1,80.9
CRI,2009,76.2,81.1
CRI,2010,76.3,81.3
CRI,2011,76.5,81.4
CRI,2012,76.6,81.6
CRI,2013,76.8,81.8
CRI,2014,77.0,81.9
CRI,2015,77.2,82.1
CZE,1960,67.8,73.5
CZE,1961,67.7,73.6
CZE,1962,66.9,72.9
CZE,1963,67.3,73.6
CZE,1964,67.5,73.8
CZE,1965,67.2,73.5
CZE,1966,67.3,73.9
CZE,1967,67.1,73.8
CZE,1968,66.6,73.5
CZE,1969,66.0,73.2
CZE,1970,66.1,73.1
CZE,1971,66.2,73.4
CZE,1972,66.9,73.7
CZE,1973,66.6,73.8
CZE,1974,66.8,73.6
CZE,1975,67.0,74.1
CZE,1976,67.1,74.3
CZE,1977,67.2,74.3
CZE,1978,67.3,74.4
CZE,1979,67.4,74.4
CZE,1980,66.9,74.0
CZE,1981,67.2,74.4
CZE,1982,67.3,74.5
CZE,1983,67.1,74.4
CZE,1984,67.4,74.6
CZE,1985,67.5,74.8
CZE,1986,67.5,74.7
CZE,1987,67.9,75.3
CZE,1988,68.2,75.4
CZE,1989,68.2,75.5
CZE,1990,67.6,75.5
CZE,1991,68.2,75.8
CZE,1992,68.6,76.3
CZE,1993,69.3,76.5
CZE,1994,69.5,76.8
CZE,1995,69.7,76.8
CZE,1996,70.4,77.5
CZE,1997,70.5,77.6
CZE,1998,71.2,78.2
CZE,1999,71.5,78.3
CZE,2000,71.6,78.5
CZE,2001,72.0,78.5
CZE,2002,72.1,78.7
CZE,2003,72.0,78.6
CZE,2004,72.5,79.1
CZE,2005,72.9,79.2
CZE,2006,73.5,79.9
CZE,2007,73.8,80.2
CZE,2008,74.1,80.5
CZE,2009,74.3,80.5
CZE,2010,74.5,80.9
CZE,2011,74.8,81.1
CZE,2012,75.1,81.2
CZE,2013,75.2,81.3
CZE,2014,75.8,82.0
CZE,2015,75.7,81.6
DEU,1960,66.5,71.7
DEU,1961,67.0,72.3
DEU,1962,67.1,72.6
DEU,1963,67.2,72.8
DEU,1964,67.7,73.4
DEU,1965,67.7,73.3
DEU,1966,67.7,73.5
DEU,1967,67.9,73.8
DEU,1968,67.5,73.4
DEU,1969,67.3,73.3
DEU,1970,67.5,73.6
DEU,1971,67.7,73.8
DEU,1972,67.8,74.1
DEU,1973,68.1,74.4
DEU,1974,68.4,74.6
DEU,1975,68.2,74.5
DEU,1976,68.6,75.0
DEU,1977,69.2,75.7
DEU,1978,69.1,75.7
DEU,1979,69.5,76.0
DEU,1980,69.6,76.2
DEU,1981,69.9,76.4
DEU,1982,70.2,76.7
DEU,1983,70.5,77.0
DEU,1984,71.0,77.5
DEU,1985,71.1,77.6
DEU,1986,71.4,77.7
DEU,1987,71.7,78.2
DEU,1988,71.9,78.4
DEU,1989,72.1,78.6
DEU,1990,72.0,78.5
DEU,1991,72.2,78.8
DEU,1992,72.7,79.3
DEU,1993,72.8,79.4
DEU,1994,73.1,79.7
DEU,1995,73.3,79.9
DEU,1996,73.6,80.1
DEU,1997,74.1,80.5
DEU,1998,74.5,80.8
DEU,1999,74.8,81.0
DEU,2000,75.1,81.2
DEU,2001,75.6,81.4
DEU,2002,75.7,81.3
DEU,2003,75.8,81.3
DEU,2004,76.5,81.9
DEU,2005,76.7,82.0
DEU,2006,77.2,82.4
DEU,2007,77.4,82.7
DEU,2008,77.6,82.7
DEU,2009,77.8,82.8
DEU,2010,78.0,83.0
DEU,2011,77.9,83.1
DEU,2012,78.1,83.1
DEU,2013,78.1,83.0
DEU,2014,78.7,83.6
DEU,2015,78.3,83.1
DNK,1960,70.4,74.4
DNK,1967,70.3,74.9
DNK,1968,70.6,75.4
DNK,1969,70.7,75.6
DNK,1970,70.7,75.9
DNK,1971,70.7,75.9
DNK,1972,70.7,76.1
DNK,1973,70.8,76.3
DNK,1974,71.0,76.9
DNK,1975,71.3,77.1
DNK,1976,70.9,76.8
DNK,1977,71.8,77.9
DNK,1978,71.5,77.6
DNK,1979,71.2,77.5
DNK,1980,71.2,77.3
DNK,1981,71.3,77.5
DNK,1982,71.6,77.8
DNK,1983,71.5,77.7
DNK,1984,71.7,77.8
DNK,1985,71.5,77.6
DNK,1986,71.8,77.7
DNK,1987,71.8,77.9
DNK,1988,72.1,77.8
DNK,1989,72.0,77.9
DNK,1990,72.0,77.8
DNK,1991,72.5,78.1
DNK,1992,72.6,78.0
DNK,1993,72.6,77.8
DNK,1994,72.8,78.2
DNK,1995,72.7,77.9
DNK,1996,73.1,78.3
DNK,1997,73.6,78.6
DNK,1998,74.0,79.0
DNK,1999,74.2,79.0
DNK,2000,74.5,79.2
DNK,2001,74.7,79.3
DNK,2002,74.8,79.4
DNK,2003,75.0,79.8
DNK,2004,75.4,80.2
DNK,2005,76.0,80.5
DNK,2006,76.1,80.7
DNK,2007,76.2,80.6
DNK,2008,76.5,81.0
DNK,2009,76.9,81.1
DNK,2010,77.2,81.4
DNK,2011,77.8,81.9
DNK,2012,78.1,82.1
DNK,2013,78.3,82.4
DNK,2014,78.7,82.8
DNK,2015,78.8,82.7
ESP,1960,67.4,72.2
ESP,1970,69.2,74.8
ESP,1975,70.5,76.3
ESP,1976,70.8,76.6
ESP,1977,71.2,77.1
ESP,1978,71.3,77.4
ESP,1979,71.8,78.0
ESP,1980,72.3,78.5
ESP,1981,72.5,78.8
ESP,1982,73.1,79.4
ESP,1983,72.9,79.1
ESP,1984,73.1,79.7
ESP,1985,73.1,79.6
ESP,1986,73.4,79.9
ESP,1987,73.5,80.2
ESP,1988,73.5,80.3
ESP,1989,73.4,80.5
ESP,1990,73.3,80.6
ESP,1991,73.4,80.7
ESP,1992,73.8,81.3
ESP,1993,74.0,81.3
ESP,1994,74.4,81.7
ESP,1995,74.4,81.8
ESP,1996,74.5,82.0
ESP,1997,75.2,82.4
ESP,1998,75.3,82.4
ESP,1999,75.3,82.3
ESP,2000,75.8,82.8
ESP,2001,76.3,83.2
ESP,2002,76.4,83.3
ESP,2003,76.4,83.0
ESP,2004,77.0,83.7
ESP,2005,77.0,83.6
ESP,2006,77.8,84.4
ESP,2007,77.9,84.4
ESP,2008,78.3,84.6
ESP,2009,78.8,85.0
ESP,2010,79.2,85.5
ESP,2011,79.5,85.6
ESP,2012,79.5,85.5
ESP,2013,80.2,86.1
ESP,2014,80.4,86.2
ESP,2015,80.1,85.8
EST,1960,64.7,73.1
EST,1961,65.1,73.3
EST,1962,65.6,73.2
EST,1963,65.4,73.6
EST,1964,66.4,74.2
EST,1965,66.3,74.3
EST,1966,66.3,74.4
EST,1967,66.4,74.8
EST,1968,65.9,74.5
EST,1969,65.3,74.4
EST,1970,65.5,74.5
EST,1971,65.7,74.8
EST,1972,65.5,74.7
EST,1973,66.1,74.7
EST,1974,65.9,75.1
EST,1975,65.0,74.8
EST,1976,64.6,74.4
EST,1977,64.7,74.5
EST,1978,64.3,74.5
EST,1979,64.1,74.2
EST,1980,64.2,74.3
EST,1981,64.1,74.1
EST,1982,64.6,74.7
EST,1983,64.4,74.8
EST,1984,64.6,74.3
EST,1985,64.6,74.5
EST,1986,66.2,75.1
EST,1987,66.3,75.1
EST,1988,66.5,75.0
EST,1989,65.7,74.9
EST,1990,64.7,74.9
EST,1991,64.4,75.0
EST,1992,63.4,74.8
EST,1993,62.3,74.0
EST,1994,60.6,72.9
EST,1995,61.4,74.3
EST,1996,64.2,75.6
EST,1997,64.2,75.9
EST,1998,63.9,75.4
EST,1999,65.0,76.1
EST,2000,65.6,76.4
EST,2001,65.2,76.5
EST,2002,65.6,77.2
EST,2003,66.4,77.2
EST,2004,66.7,78.0
EST,2005,67.6,78.2
EST,2006,67.6,78.6
EST,2007,67.5,78.9
EST,2008,68.9,79.5
EST,2009,70.0,80.3
EST,2010,70.9,80.8
EST,2011,71.4,81.3
EST,2012,71.4,81.5
EST,2013,72.8,81.7
EST,2014,72.4,81.9
EST,2015,73.2,82.2
FIN,1960,65.5,72.5
FIN,1963,65.4,72.6
FIN,1968,65.9,73.7
FIN,1970,66.5,75.0
FIN,1971,65.9,74.2
FIN,1972,66.6,74.9
FIN,1973,66.9,75.5
FIN,1974,66.9,75.4
FIN,1975,67.4,75.9
FIN,1976,67.6,76.3
FIN,1977,67.9,76.9
FIN,1978,68.5,77.6
FIN,1979,69.0,77.5
FIN,1980,69.2,78.0
FIN,1981,69.6,78.2
FIN,1982,70.3,78.8
FIN,1983,70.3,78.5
FIN,1984,70.5,79.0
FIN,1985,70.2,78.7
FIN,1986,70.6,78.9
FIN,1987,70.7,78.8
FIN,1988,70.7,78.8
FIN,1989,70.9,79.0
FIN,1990,71.0,79.0
FIN,1991,71.4,79.5
FIN,1992,71.7,79.6
FIN,1993,72.1,79.5
FIN,1994,72.8,80.3
FIN,1995,72.8,80.4
FIN,1996,73.1,80.7
FIN,1997,73.5,80.7
FIN,1998,73.6,81.0
FIN,1999,73.8,81.2
FIN,2000,74.2,81.2
FIN,2001,74.6,81.7
FIN,2002,74.9,81.6
FIN,2003,75.1,81.9
FIN,2004,75.4,82.5
FIN,2005,75.6,82.5
FIN,2006,75.9,83.1
FIN,2007,76.0,83.1
FIN,2008,76.5,83.3
FIN,2009,76.6,83.5
FIN,2010,76.9,83.5
